Farm,Type,Round,Date,Species,Load,Netted on,Plant pollen,Status,Proportion,Weight
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,nests,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,nests,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.75,nests,Tripleurospermum inodorum,Wild,100,75
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,nests,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,nests,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,nests,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,75
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,75
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,90,90
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.25,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,25
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.25,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,25
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.25,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,25
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.25,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,25
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,50,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,75
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.25,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,25
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,75
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,20,10
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,35,35
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,75
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.25,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,25
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.25,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,25
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.125,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,12.5
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,100
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,0.5,Tripleurospermum inodorum,Tripleurospermum inodorum,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum malachurum,1,nests,Veronica persica,Wild,2,2
Farm1,ELS,Three,29/06/2015,Lasioglossum pauxillum,1,nests,Leucanthemum vulgare,Sown,50,50
Farm1,ELS,Three,29/06/2015,Lasioglossum pauxillum,0.5,nests,Ranunculus repens,Wild,35,17.5
Farm1,ELS,Three,29/06/2015,Lasioglossum pauxillum,0.5,nests,Rubus fruticosus agg.,Wild,65,32.5
Farm1,ELS,Three,29/06/2015,Lasioglossum pauxillum,1,nests,Rubus fruticosus agg.,Wild,50,50
Farm1,ELS,Three,29/06/2015,Lasioglossum pauxillum,0.5,nests,Rubus fruticosus agg.,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum pauxillum,0.5,nests,Rubus fruticosus agg.,Wild,100,50
Farm1,ELS,Three,29/06/2015,Lasioglossum pauxillum,0.25,nests,Tripleurospermum inodorum,Wild,100,25
Farm10,HLS,One,30/04/2015,Andrena carantonica,1,Brassica-type,Brassica-type,Crop,100,100
Farm10,HLS,One,30/04/2015,Andrena carantonica,1,Brassica-type,Brassica-type,Crop,100,100
Farm10,HLS,One,30/04/2015,Andrena carantonica,0.125,Brassica-type,Brassica-type,Crop,100,12.5
Farm10,HLS,One,30/04/2015,Andrena carantonica,0.5,Brassica-type,Brassica-type,Crop,100,50
Farm10,HLS,One,30/04/2015,Andrena carantonica,1,Brassica-type,Brassica-type,Crop,100,100
Farm10,HLS,One,30/04/2015,Andrena cineraria,0.125,Brassica-type,Brassica-type,Crop,100,12.5
Farm10,HLS,One,30/04/2015,Andrena fulva,0.5,Brassica-type,Brassica-type,Crop,100,50
Farm10,HLS,One,30/04/2015,Andrena haemorrhoa,0.5,Brassica-type,Brassica-type,Crop,100,50
Farm10,HLS,One,30/04/2015,Andrena haemorrhoa,0.5,Brassica-type,Brassica-type,Crop,100,50
Farm10,HLS,One,30/04/2015,Andrena nitida,0.5,Brassica-type,Brassica-type,Crop,100,50
Farm10,HLS,Two,8/6/2015,Andrena cineraria,0.125,Chaerophyllum temulum,Chaerophyllum temulum,Wild,60,7.5
Farm10,HLS,Two,8/6/2015,Andrena cineraria,0.125,Chaerophyllum temulum,Rhamnus cathartica,Wild,40,5
Farm10,HLS,Two,8/6/2015,Andrena flavipes,1,Leucanthemum vulgare,Leucanthemum vulgare,Sown,30,30
Farm10,HLS,Two,8/6/2015,Andrena flavipes,0.5,Leucanthemum vulgare,Leucanthemum vulgare,Sown,100,50
Farm10,HLS,Two,8/6/2015,Andrena flavipes,0.125,Leucanthemum vulgare,Leucanthemum vulgare,Sown,100,12.5
Farm10,HLS,Two,8/6/2015,Andrena flavipes,1,Leucanthemum vulgare,Rhamnus cathartica,Wild,10,10
Farm10,HLS,Two,8/6/2015,Andrena flavipes,1,Leucanthemum vulgare,Sinapis arvensis,Wild,60,60
Farm10,HLS,Two,8/6/2015,Andrena haemorrhoa,0.75,Reseda lutea,Chaerophyllum temulum,Wild,2,1.5
Farm10,HLS,Two,8/6/2015,Andrena haemorrhoa,0.75,Reseda lutea,Reseda lutea,Wild,55,41.25
Farm10,HLS,Two,8/6/2015,Andrena haemorrhoa,0.75,Reseda lutea,Rhamnus cathartica,Wild,40,30
Farm10,HLS,Two,8/6/2015,Andrena haemorrhoa,0.75,Reseda lutea,Viburnum lantana,Wild,3,2.25
Farm10,HLS,Two,8/6/2015,Andrena nigroaenea,0.25,Reseda lutea,Reseda lutea,Wild,100,25
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Chaerophyllum temulum,Wild,100,12.5
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.75,Chaerophyllum temulum,Chaerophyllum temulum,Wild,100,75
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.5,Chaerophyllum temulum,Chaerophyllum temulum,Wild,50,25
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Chaerophyllum temulum,Wild,100,12.5
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Chaerophyllum temulum,Wild,70,8.75
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Chaerophyllum temulum,Wild,100,12.5
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.0625,Chaerophyllum temulum,Chaerophyllum temulum,Wild,95,5.94
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Chaerophyllum temulum,Wild,98,12.25
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Chaerophyllum temulum,Wild,70,8.75
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.5,Chaerophyllum temulum,Sisymbrium officinale,Wild,30,15
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Sisymbrium officinale,Wild,10,1.25
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.0625,Chaerophyllum temulum,Sisymbrium officinale,Wild,5,0.31
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Sisymbrium officinale,Wild,2,0.25
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Sisymbrium officinale,Wild,30,3.75
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.5,Chaerophyllum temulum,Veronica persica,Wild,20,10
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,0.125,Chaerophyllum temulum,Veronica persica,Wild,20,2.5
Farm10,HLS,Two,8/6/2015,Halictus tumulorum,0.125,Leucanthemum vulgare,Leucanthemum vulgare,Sown,100,12.5
Farm10,HLS,Two,8/6/2015,Halictus tumulorum,0.5,Leucanthemum vulgare,Leucanthemum vulgare,Sown,66,33
Farm10,HLS,Two,8/6/2015,Halictus tumulorum,0.0625,Leucanthemum vulgare,Leucanthemum vulgare,Sown,100,6.25
Farm10,HLS,Two,8/6/2015,Halictus tumulorum,0.5,Leucanthemum vulgare,Rhamnus cathartica,Wild,2,1
