Farm,Type,Round,Date,Species,Number,Caste,Visiting,Status,Purpose,Family
Farm1,ELS,Two,16/06/2015,Halictus tumulorum,2,Female,Tripleurospermum inodorum,Wild,Pollen,Asteraceae
Farm1,ELS,Two,16/06/2015,Lasioglossum malachurum,9,Female,Tripleurospermum inodorum,Wild,Pollen,Asteraceae
Farm1,ELS,Two,16/06/2015,Lasioglossum pauxillum,4,Female,Tripleurospermum inodorum,Wild,Pollen,Asteraceae
Farm10,HLS,Three,5/7/2013,Andrena haemorrhoa,1,Female,Reseda lutea,Wild,Pollen,Resedaceae
Farm10,HLS,Three,5/7/2013,Andrena minutula,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Three,5/7/2013,Lasioglossum calceatum,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Three,5/7/2013,Megachile versicolor,1,Female,Medicago sativa,Sown,Nectar,Fabaceae
Farm10,HLS,Two,5/6/2013,Andrena dorsata,1,Female,Ranunculus repens,Wild,Pollen,Ranunculaceae
Farm10,HLS,Two,5/6/2013,Andrena dorsata,1,Female,Rubus fruticosus agg.,Wild,Nectar,Rosaceae
Farm10,HLS,Four,7/8/2014,Andrena alfkenella,2,Male,Daucus carota,Sown,Nectar,Apiaceae
Farm10,HLS,Four,7/8/2014,Halictus tumulorum,1,Female,Pulicaria dysenterica,Wild,Nectar,Asteraceae
Farm10,HLS,Four,7/8/2014,Lasioglossum calceatum,1,Male,Senecio erucifolius,Wild,Nectar,Asteraceae
Farm10,HLS,Four,7/8/2014,Lasioglossum malachurum,1,Male,Cirsium arvense,Wild,Nectar,Asteraceae
Farm10,HLS,Four,7/8/2014,Lasioglossum malachurum,2,Male,Senecio erucifolius,Wild,Nectar,Asteraceae
Farm10,HLS,Four,7/8/2014,Lasioglossum morio,1,Worker,Lotus corniculatus,Sown,Nectar,Fabaceae
